Caste to be Added|Subcaste Id|Primary Mother Tongue|Related Caste Ids|Caste Group|Main Caste ID
Adi Andhra|N/A|Telugu|16||16
Adi Karnataka|207|Karantaka|121, 242, 16||121
Agamudayar|127|Tamil|98, 130, 242, 99, 200||98
Ahir|64||146, 242, 125, 20, 64, 122, 136||146
Banjara|605||50, 242||50
Bhatraju|842||82|All Kshatriya|82
Bishnoi/Vishnoi|736||20, 17, 64, 71, 242||20
Brahmin Bajkhedwal|N/A|Gujarati|25|All Brahmin, All Gujarati Brahmin|25
Brahmin Bhargava|307||25, 242|All Brahmin|25
Brahmin Brahacharanam|134||66, 25, 48, 242|All Brahmin|66
Brahmin Gujar Gaur|N/A||25|All Brahmin|25
Brahmin Gurukkal|N/A||25|All Brahmin|25
Brahmin Hoysala|N/A||25|All Brahmin, All Karnataka Brahmin|25
Brahmin Jangid|338||25, 143, 242, 127|All Brahmin|25
Brahmin Jangra|473||25|All Brahmin, All Maharastra Brahmin|25
Brahmin Jogi|532||25, 242|All Brahmin|25
Brahmin Yajurvedi|161||30, 25|All Brahmin|30
Chattada Sri Vaishnava|N/A|Telugu|25|All Brahmin|25
Deshastha Maratha|888,995||94|All Maratha|94
Dusadh|N/A||121, 242||121
Gomantak Maratha|811||94|All Maratha|94
Gondhali|997||94, 242|All Maratha|94
Gramani|N/A||101, 242||101
Gurav|421||94, 25, 242||94
Gurjar|359||63, 115||63
Kahar|529||319, 342, 242||319
Kalal|408||70, 74, 242||70
Kalinga Vysya|587|Oriya|136, 242, 189||136
Kapol|353||134, 135, 20||134
Kokanastha Maratha|626||94|All Maratha|94
Koli Mahadev|N/A||79||79
Kumbhakar|705||76, 242||76
Kutchi Gurjar|359||353||353
Lodhi Rajput|489||116|All Rajput|116
Maravar|211|Tamil|130, 200, 242||130
Mathur|129||76, 242|All Kayastha|76
Motati Reddy|981|Telugu|119||119
Panchamsali|136||89, 242||89
Pandaram|N/A||215, 242||215
Perika|N/A||82, 242||82
Raigar|939||121, 242||121
Rajbhar|1082||116, 242||116
Rajput Negi|201||117, 242, 118, 116, 328|All Rajput|117
Senguntha Mudaliyar|989||98||98
Sindhi Amil|402||123|All Sindhi|123
Sindhi Baibhand|N/A||123|All Sindhi|123
Sindhi Bhatia|110||123, 231|All Sindhi|123
Sindhi Larai|951||123|All Sindhi|123
Sindhi Larkana|473||123|All Sindhi|123
Sindhi Rohiri|N/A||123|All Sindhi|123
Sindhi Sahiti|125||123, 242|All Sindhi|123
Sindhi Sakkhar|N/A||123|All Sindhi|123
Sindhi Shikarpuri|281||123|All Sindhi|123
SKP|456||124, 82, 242|All Kshatriya|124
Sood|167||78, 242, 18||78
Tili|364||129, 76 242||129
Togata|N/A||108, 242||108
Tonk Kshatriya|N/A||82|All Kshatriya|82
Turupu Kapu|N/A||75|All Kapu|75
Vaidiki Velanadu|226||49, 25, 242|All Brahmin|49
Valluvar|646|Kerala, Tamil|121, 242, 16||121
Velan|N/A|Kerala|121, 242||121
Vettuva Gounder|794|Tamil|61||61
