GROUP_VALUE|VALUE
82|412
480|414
25|414
25|415
25|416
25|417
25|418
479|419
25|419
25|420
481|421
25|421
25|422
25|423
25|424
494|425
494|427
494|428
494|436
116|440
76|442
116|449
492|451
492|452
492|453
492|454
492|455
492|456
492|457
492|458
492|459
82|460
82|464
75|465
25|466
473|28
473|31
473|36
473|40
473|47
473|262
474|33
474|179
474|180
474|300
475|38
475|46
475|292
475|303
475|311
476|49
476|295
476|299
476|306
477|65
477|66
477|293
477|304
478|26
478|49
478|315
495|35
495|41
495|48
495|296
495|300
495|312
480|27
480|43
480|44
480|234
480|291
480|302
480|314
481|29
481|32
481|37
482|290
482|301
482|309
482|310
483|237
483|261
483|316
82|18
82|23
82|51
82|322
82|55
82|353
82|88
82|90
82|176
82|110
82|117
82|118
82|221
82|167
82|71
116|71
116|77
116|78
116|90
116|94
116|156
116|157
116|159
116|225
116|231
116|322
484|18
484|103
484|219
484|220
484|233
484|365
484|78
485|17
485|20
485|64
485|70
485|95
485|381
485|396
485|173
485|174
485|175
485|246
20|70
20|91
20|125
20|139
20|284
20|337
20|343
20|356
20|382
20|384
20|385
20|386
20|396
20|397
486|17
486|64
486|91
486|95
486|314
486|343
486|356
486|371
487|382
487|145
487|54
487|19
488|19
488|54
488|138
488|209
76|92
76|285
76|339
76|340
76|375
76|377
76|379
76|389
489|16
489|72
489|121
489|137
489|164
489|166
489|183
489|194
489|195
489|226
489|236
489|278
489|288
489|318
489|323
489|335
489|345
489|357
489|359
489|362
489|368
489|377
489|379
490|79
490|137
490|393
490|403
491|135
491|163
491|385
491|389
491|340
491|367
493|169
493|187
493|381
493|382
493|129
491|284
492|123
