Caste ID|Mtongue ID (VALUE)
223|16
223|10
223|20
223|6
223|19
224|20
225|10
225|27
225|13
225|33
226|10
226|33
226|28
226|20
226|19
227|10
227|33
227|19
227|6
228|20
228|12
228|16
228|25
228|6
228|10
228|33
229|20
229|10
229|33
229|19
230|16
230|10
230|3
230|6
230|31
231|10
231|27
231|12
231|30
232|3
232|10
232|33
233|16
233|10
233|25
233|20
233|3
233|34
234|12
234|10
234|19
235|12
235|19
235|10
235|20
235|16
236|12
237|28
237|10
237|12
237|27
239|20
239|10
239|16
241|20
241|10
241|33
241|19
242|10
242|20
242|6
242|12
242|27
242|31
242|33
242|19
242|3
247|20
247|10
247|19
252|6
252|10
278|27
278|10
278|31
278|6
278|20
279|5
279|10
281|6
281|10
281|25
282|6
282|10
282|33
283|3
283|16
283|10
284|6
284|10
285|6
285|10
286|3
286|16
286|10
287|20
287|19
288|20
288|16
288|3
288|10
289|10
289|12
289|33
289|19
290|6
290|10
291|10
291|33
291|12
291|6
291|19
292|10
292|33
292|27
292|28
293|3
293|10
293|33
294|25
294|10
295|25
295|10
296|16
296|10
299|25
299|10
299|6
300|16
300|10
300|28
300|33
301|6
302|12
302|10
303|27
303|10
304|17
304|10
305|3
306|25
306|10
306|33
306|6
307|10
307|33
307|19
307|27
309|6
310|6
310|10
311|33
311|10
311|7
311|19
312|16
312|10
312|33
314|12
314|28
314|10
314|19
315|3
315|16
315|10
315|31
316|10
316|12
316|19
316|28
316|33
317|6
317|10
317|20
317|5
317|33
318|10
318|33
318|19
318|13
319|10
319|33
319|7
319|19
320|25
320|6
320|10
321|10
321|3
321|33
321|14
321|28
321|27
322|10
322|33
322|29
322|19
323|31
324|20
324|19
324|10
325|10
325|27
325|14
325|33
326|25
326|6
326|10
327|20
327|6
327|10
328|33
328|10
329|27
329|10
330|6
330|25
330|10
330|3
330|33
331|19
331|34
331|20
331|10
331|33
332|25
332|10
333|16
333|3
333|20
333|31
334|12
334|10
335|25
335|6
335|5
336|5
337|33
337|10
337|7
338|25
338|12
338|3
338|6
338|10
339|25
340|6
341|20
341|19
341|10
342|10
342|6
342|33
342|27
342|19
343|10
343|28
343|19
344|20
344|34
344|16
345|10
345|33
345|19
345|7
346|20
346|17
346|25
346|10
347|25
347|5
348|10
348|33
348|19
348|13
348|7
348|28
349|33
349|10
349|19
349|7
350|16
350|3
351|12
352|16
352|3
352|20
352|10
353|12
354|20
355|12
355|10
355|27
355|20
356|10
356|27
356|20
357|20
357|19
357|10
358|3
358|10
358|20
359|10
359|27
359|20
360|10
360|5
360|6
360|21
360|29
360|19
361|20
361|31
361|10
362|20
363|20
364|10
364|28
364|19
365|10
365|19
365|27
366|3
366|12
366|19
366|10
367|6
367|12
367|10
368|6
369|6
369|19
369|10
369|33
370|20
371|28
371|10
371|19
371|12
371|33
372|10
372|33
372|6
372|19
373|12
373|10
373|20
374|33
374|10
374|7
374|19
375|25
375|10
375|6
376|6
376|5
376|10
376|33
377|27
377|10
378|27
378|10
379|27
379|10
380|10
380|33
380|19
380|28
381|6
381|10
381|33
382|19
382|10
382|33
382|25
383|3
384|10
384|19
384|12
384|28
384|33
385|6
386|25
386|30
386|10
386|7
386|33
386|6
387|20
388|6
388|19
388|10
388|33
389|25
389|6
389|33
389|10
389|7
390|12
390|10
390|19
390|33
391|10
391|33
391|19
392|16
392|10
392|31
392|33
393|10
393|20
393|19
393|3
393|6
393|5
393|31
393|25
394|16
394|3
394|31
395|3
395|20
396|12
396|3
396|10
396|16
396|31
397|20
397|34
398|12
398|20
398|31
398|10
399|31
399|12
399|17
399|10
400|17
401|17
401|31
402|3
403|20
403|19
403|3
403|10
403|25
403|5
403|12
403|6
405|33
405|10
405|12
405|7
405|19
405|6
